"id" "sex" "age" "KRN" "bKRN"
"496" "XBSA_5B7" 1 90 9 -1
"497" "XBSA_5B8" 1 90 9 -1
"498" "XBSA_7A8" 1 90 13 0
"499" "XBSA_2C2" 1 90 18 1
"500" "XBSA_5C5" 1 90 9 -1
"501" "XBSA_2C3" 1 90 21 1
"502" "XBSA_2C4" 1 90 20 1
"503" "XBSA_5C6" 1 90 9 -1
"504" "XBSA_5C7" 1 90 9 -1
"505" "XBSA_5C8" 1 90 9 -1
"506" "XBSA_2D1" 1 90 19 1
"507" "XBSA_7A7" 1 90 14 0
"508" "XBSA_5D5" 1 90 9 -1
"509" "XBSA_2D2" 1 90 18 1
"510" "XBSA_2D3" 1 90 21 1
"511" "XBSA_2D4" 1 90 19 1
"512" "XBSA_2E1" 1 90 19 1
"513" "XBSA_5D6" 1 90 9 -1
"514" "XBSA_5D7" 1 90 9 -1
"515" "XBSA_7A6" 1 90 11 0
"516" "XBSA_5D8" 1 90 9 -1
"517" "XBSA_5E5" 1 90 9 -1
"518" "XBSA_4D3" 1 90 8 -1
"519" "XBSA_5E6" 1 90 9 -1
"520" "XBSA_2E2" 1 90 20 1
"521" "XBSA_1C2" 1 90 27 1
"522" "XBSA_7A5" 1 90 14 0
"523" "XBSA_2E3" 1 90 18 1
"524" "XBSA_5E7" 1 90 9 -1
"525" "XBSA_5E8" 1 90 9 -1
"526" "XBSA_5F5" 1 90 9 -1
"527" "XBSA_5F6" 1 90 9 -1
"528" "XBSA_5F7" 1 90 9 -1
"529" "XBSA_7H4" 1 90 11 0
"530" "XBSA_5F8" 1 90 9 -1
"531" "XBSA_5G5" 1 90 9 -1
"532" "XBSA_2E4" 1 90 20 1
"533" "XBSA_5G6" 1 90 9 -1
"534" "XBSA_5G7" 1 90 9 -1
"535" "XBSA_2F1" 1 90 24 1
"536" "XBSA_1C3" 1 90 30 1
"537" "XBSA_2F2" 1 90 19 1
"538" "XBSA_5G8" 1 90 9 -1
"539" "XBSA_5H5" 1 90 8 -1
"540" "XBSA_2F3" 1 90 25 1
"541" "XBSA_1C4" 1 90 28 1
