"Genotype"	"Estimate"	"StdErr"
"206"	"B73xM0272"	18.7518	0.4418
"207"	"B73xM0273"	18.4207	0.3965
"208"	"B73xM0274"	17.5946	0.5179
"209"	"B73xM0275"	18.2897	0.5373
"210"	"B73xM0276"	16.2491	0.3965
"211"	"B73xM0279"	17.4188	0.4101
"212"	"B73xM0280"	16.4054	0.3964
"213"	"B73xM0281"	17.1157	0.5103
"214"	"B73xM0282"	15.8447	0.4419
"215"	"B73xM0283"	16.1189	0.8291
"216"	"B73xM0284"	17.1835	0.4239
"217"	"B73xM0285"	14.2553	0.4239
"218"	"B73xM0286"	15.1666	0.8082
"219"	"B73xM0287"	17.8622	0.4091
"220"	"B73xM0288"	18.3706	0.4239
"221"	"B73xM0289"	15.6306	0.3966
"222"	"B73xM0290"	17.1814	0.4842
"223"	"B73xM0291"	17.6587	0.4393
"224"	"B73xM0292"	14.3447	0.4241
"225"	"B73xM0293"	14.9103	0.5487
"226"	"B73xM0294"	16.0655	0.5791
"227"	"B73xM0295"	16.3319	0.4091
"228"	"B73xM0296"	16.4873	0.4716
"229"	"B73xM0297"	18.0173	0.4792
"230"	"B73xM0298"	17.6553	0.579
"231"	"B73xM0300"	16.0213	0.4393
"232"	"B73xM0303"	16.0191	0.6279
"233"	"B73xM0304"	16.6809	0.4263
"234"	"B73xM0305"	15.0709	0.4262
"235"	"B73xM0306"	17.2622	0.4419
"236"	"B73xM0307"	17.2148	0.4091
"237"	"B73xM0308"	16.2614	0.4808
"238"	"B73xM0309"	17.2043	0.5102
"239"	"B73xM0310"	19.7402	0.4239
"240"	"B73xM0311"	16.6497	0.711
"241"	"B73xM0312"	15.7697	0.4405
"242"	"B73xM0313"	15.9796	0.4641
"243"	"B73xM0317"	15.3277	0.3851
"244"	"B73xM0318"	16.5675	0.4089
"245"	"B73xM0320"	16.7481	0.4395
"246"	"B73xM0321"	18.203	0.5079
"247"	"B73xM0322"	18.186	0.4394
"248"	"B73xM0323"	16.1337	0.4239
"249"	"B73xM0324"	15.202	0.4239
"250"	"B73xM0325"	16.9407	0.5425
"251"	"B73xM0326"	16.3532	0.4462
"252"	"B73xM0327"	16.2672	0.4101
"253"	"B73xM0328"	16.4145	0.4847
"254"	"B73xM0331"	16.897	0.424
"255"	"B73xM0334"	17.2383	0.808
"256"	"B73xM0335"	15.2975	0.579
"257"	"B73xM0337"	15.9681	0.4406
"258"	"B73xM0338"	15.7455	0.41
"259"	"B73xM0339"	18.1075	0.4865
"260"	"B73xM0341"	18.5023	0.4264
"261"	"B73xM0342"	17.538	0.4793
"262"	"B73xM0344"	14.83	0.4419
"263"	"B73xM0345"	15.1169	0.3965
"264"	"B73xM0348"	16.2616	0.4846
"265"	"B73xM0350"	15.0196	0.4238
"266"	"B73xM0351"	15.4151	0.4642
"267"	"B73xM0352"	17.9662	0.4091
"268"	"B73xM0353"	16.4364	0.4643
"269"	"B73xM0354"	15.6671	0.4461
"270"	"B73xM0355"	15.4797	0.5372
"271"	"B73xM0357"	16.3968	0.461
"272"	"B73xM0358"	17.2415	0.4261
"273"	"B73xM0360"	14.9053	0.41
"274"	"B73xM0362"	16.6026	0.5401
"275"	"B73xM0364"	16.2855	0.4864
"276"	"B73xM0365"	17.8366	0.4864
"277"	"B73xM0366"	15.7475	0.4101
"278"	"B73xM0368"	16.6059	0.7109
"279"	"B73xM0369"	15.8003	0.4579
"280"	"B73xM0370"	18.1333	0.424
"281"	"B73xM0375"	15.6649	0.442
"282"	"B73xM0376"	15.9095	0.4393
"283"	"B73xM0377"	17.6525	0.4091
"284"	"B73xM0378"	16.1552	0.3966
"285"	"B73xM0379"	15.2963	0.3851
"286"	"B73xM0380"	16.3736	0.4419
"287"	"B73xM0381"	16.2874	0.4262
"288"	"B73xM0382"	17.2047	0.54
"289"	"B73xM0383"	16.9241	0.6375
"290"	"B73xM0384"	15.8102	0.3966
