order,Pedigree,Genotype,Note,KRN,QS,ST
171,10NAM-91-22@,Z018E0084,Mo18W,12,3,S
172,10NAM-92-21@,Z018E0085,Mo18W,14,5,S
173,10NAM-93-21@,Z018E0086,Mo18W,16,4,T
174,10NAM-93-22@,Z018E0086,Mo18W,16,3,T
175,10NAM-93-23@,Z018E0086,Mo18W,,,
177,10NAM-94-21@,Z018E0087,Mo18W,18,3,T
178,10NAM-94-22@,Z018E0087,Mo18W,16,4,T
179,10NAM-95-21@,Z018E0088,Mo18W,18,5,S
180,10NAM-96-21@,Z018E0089,Mo18W,14,2,T
181,10NAM-96-22@,Z018E0089,Mo18W,14,3,T
182,10NAM-96-23@,Z018E0089,Mo18W,16,3,T
183,10NAM-96-24@,Z018E0089,Mo18W,16,3,T
184,10NAM-97-21@,Z018E0090,Mo18W,16,4,S
185,10NAM-97-22@,Z018E0090,Mo18W,14,2,S
186,10NAM-99-21@,Z018E0092,Mo18W,16,3,T
187,10NAM-99-22@,Z018E0092,Mo18W,12,3,S
188,10NAM-100-21@,Z018E0093,Mo18W,18,3,T
189,10NAM-100-22@,Z018E0093,Mo18W,14,4,T
190,10NAM-100-23@,Z018E0093,Mo18W,17,3,T
191,10NAM-101-21@,Z018E0094,Mo18W,15,3,T
192,10NAM-101-22@,Z018E0094,Mo18W,14,5,S
193,10NAM-101-23@,Z018E0094,Mo18W,,,
194,10NAM-102-21@,Z018E0095,Mo18W,16,2,S
195,10NAM-102-22@,Z018E0095,Mo18W,15,2,S
196,10NAM-102-23@,Z018E0095,Mo18W,14,1,S
197,10NAM-102-24@,Z018E0095,Mo18W,17,3,T
198,10NAM-103-21@,Z018E0096,Mo18W,18,1,S
199,10NAM-103-22@,Z018E0096,Mo18W,17,3,S
200,10NAM-103-23@,Z018E0096,Mo18W,16,4,S
201,10NAM-103-24@,Z018E0096,Mo18W,17,2,S
202,10NAM-104-21@,Z018E0097,Mo18W,16,3,S
203,10NAM-104-22@,Z018E0097,Mo18W,16,2,S
204,10NAM-104-23@,Z018E0097,Mo18W,16,5,S
205,10NAM-105-21@,Z018E0098,Mo18W,17,4,T
206,10NAM-105-22@,Z018E0098,Mo18W,14,4,S
207,10NAM-105-23@,Z018E0098,Mo18W,15,2,S
208,10NAM-106-21@,Z018E0099,Mo18W,12,5,S
209,10NAM-106-22@,Z018E0099,Mo18W,14,5,S
210,10NAM-106-23@,Z018E0099,Mo18W,14,4,S
211,10NAM-107-21@,Z018E0100,Mo18W,18,4,T
212,10NAM-107-22@,Z018E0100,Mo18W,16,3,T
213,10NAM-107-23@,Z018E0100,Mo18W,17,3,T
214,10NAM-107-24@,Z018E0100,Mo18W,15,3,T
215,10NAM-107-25@,Z018E0100,Mo18W,16,5,S
216,10NAM-108-21@,Z018E0101,Mo18W,16,4,T
217,10NAM-108-22@,Z018E0101,Mo18W,18,4,T
218,10NAM-108-23@,Z018E0101,Mo18W,,,
219,10NAM-109-21@,Z018E0102,Mo18W,18,4,T
220,10NAM-109-22@,Z018E0102,Mo18W,16,4,T
221,10NAM-109-23@,Z018E0102,Mo18W,16,4,T
222,10NAM-109-24@,Z018E0102,Mo18W,16,5,S
223,10NAM-109-25@,Z018E0102,Mo18W,14,4,T
224,10NAM-110-21@,Z018E0103,Mo18W,14,3,S
225,10NAM-110-22@,Z018E0103,Mo18W,12,4,S
226,10NAM-111-21@,Z018E0104,Mo18W,16,3,T
227,10NAM-111-22@,Z018E0104,Mo18W,16,3,T
228,10NAM-112-21@,Z018E0105,Mo18W,14,2,S
229,10NAM-112-22@,Z018E0105,Mo18W,14,4,S
230,10NAM-113-21@,Z018E0106,Mo18W,18,4,S
231,10NAM-113-22@,Z018E0106,Mo18W,20,4,T
232,10NAM-113-23@,Z018E0106,Mo18W,,,
233,10NAM-114-21@,Z018E0107,Mo18W,16,4,S
234,10NAM-114-22@,Z018E0107,Mo18W,16,4,S
235,10NAM-115-21@,Z018E0108,Mo18W,14,3,T
236,10NAM-115-22@,Z018E0108,Mo18W,15,2,S
239,10NAM-117-21@,Z018E0110,Mo18W,18,2,S
240,10NAM-118-21@,Z018E0111,Mo18W,20,5,S
241,10NAM-118-22@,Z018E0111,Mo18W,18,4,T
242,10NAM-118-23@,Z018E0111,Mo18W,20,3,T
243,10NAM-118-24@,Z018E0111,Mo18W,,,
244,10NAM-119-21@,Z018E0112,Mo18W,18,2,S
245,10NAM-120-21@,Z018E0113,Mo18W,16,2,S
246,10NAM-120-22@,Z018E0113,Mo18W,14,2,S
247,10NAM-120-23@,Z018E0113,Mo18W,13,3,S
248,10NAM-120-24@,Z018E0113,Mo18W,16,3,S
249,10NAM-121-21@,Z018E0114,Mo18W,14,3,S
250,10NAM-121-22@,Z018E0114,Mo18W,16,1,S
251,10NAM-122-21@,Z018E0115,Mo18W,17,1,S
252,10NAM-122-22@,Z018E0115,Mo18W,18,4,S
253,10NAM-123-21@,Z018E0116,Mo18W,16,1,S
255,10NAM-124-21@,Z018E0117,Mo18W,16,3,T
256,10NAM-124-22@,Z018E0117,Mo18W,21,3,T
257,10NAM-124-23@,Z018E0117,Mo18W,17,1,S
258,10NAM-125-21@,Z018E0118,Mo18W,16,2,S
259,10NAM-125-22@,Z018E0118,Mo18W,15,3,S
260,10NAM-125-23@,Z018E0118,Mo18W,18,3,T
261,10NAM-125-24@,Z018E0118,Mo18W,15,3,S
262,10NAM-126-21@,Z018E0119,Mo18W,18,5,T
263,10NAM-126-22@,Z018E0119,Mo18W,16,4,S
264,10NAM-126-23@,Z018E0119,Mo18W,16,3,S
265,10NAM-126-24@,Z018E0119,Mo18W,14,2,S
266,10NAM-127-21@,Z018E0120,Mo18W,16,3,S
267,10NAM-127-22@,Z018E0120,Mo18W,16,2,S
268,10NAM-128-21@,Z018E0121,Mo18W,14,3,S
269,10NAM-128-22@,Z018E0121,Mo18W,14,4,S
270,10NAM-128-23@,Z018E0121,Mo18W,14,2,S
271,10NAM-128-24@,Z018E0121,Mo18W,16,2,S
272,10NAM-129-21@,Z018E0122,Mo18W,16,3,S
273,10NAM-129-22@,Z018E0122,Mo18W,15,3,S
274,10NAM-130-21@,Z018E0123,Mo18W,18,3,T
275,10NAM-130-22@,Z018E0123,Mo18W,16,2,S
276,10NAM-130-23@,Z018E0123,Mo18W,15,3,S
277,10NAM-131-21@,Z018E0124,Mo18W,15,4,T
278,10NAM-131-22@,Z018E0124,Mo18W,14,4,S
279,10NAM-131-23@,Z018E0124,Mo18W,16,4,S
280,10NAM-132-21@,Z018E0126,Mo18W,16,3,T
281,10NAM-132-22@,Z018E0126,Mo18W,14,3,T
282,10NAM-132-23@,Z018E0126,Mo18W,16,4,S
283,10NAM-132-24@,Z018E0126,Mo18W,18,4,T
284,10NAM-133-21@,Z018E0127,Mo18W,16,4,S
285,10NAM-133-22@,Z018E0127,Mo18W,16,4,S
287,10NAM-134-21@,Z018E0128,Mo18W,14,4,T
288,10NAM-134-22@,Z018E0128,Mo18W,14,3,T
289,10NAM-134-23@,Z018E0128,Mo18W,14,2,S
290,10NAM-135-21@,Z018E0129,Mo18W,18,4,S
291,10NAM-135-22@,Z018E0129,Mo18W,18,4,T
292,10NAM-135-23@,Z018E0129,Mo18W,18,2,S
293,10NAM-135-24@,Z018E0129,Mo18W,,,
295,10NAM-138-21@,Z018E0132,Mo18W,15,3,T
296,10NAM-138-22@,Z018E0132,Mo18W,20,4,T
297,10NAM-138-23@,Z018E0132,Mo18W,18,3,T
299,10NAM-139-21@,Z018E0133,Mo18W,16,3,T
300,10NAM-139-22@,Z018E0133,Mo18W,18,3,T
301,10NAM-140-21@,Z018E0134,Mo18W,,,T
304,10NAM-141-21@,Z018E0135,Mo18W,19,3,S
305,10NAM-142-21@,Z018E0136,Mo18W,18,5,S
307,10NAM-143-21@,Z018E0137,Mo18W,12,1,S
308,10NAM-143-22@,Z018E0137,Mo18W,12,2,S
309,10NAM-144-21@,Z018E0138,Mo18W,16,4,S
310,10NAM-144-22@,Z018E0138,Mo18W,18,4,T
311,10NAM-144-23@,Z018E0138,Mo18W,18,3,T
312,10NAM-145-21@,Z018E0139,Mo18W,12,4,S
313,10NAM-145-22@,Z018E0139,Mo18W,15,3,T
314,10NAM-145-23@,Z018E0139,Mo18W,14,3,T
315,10NAM-146-21@,Z018E0140,Mo18W,15,3,S
316,10NAM-147-21@,Z018E0141,Mo18W,20,4,T
317,10NAM-147-22@,Z018E0141,Mo18W,20,5,S
318,10NAM-148-21@,Z018E0142,Mo18W,16,5,S
319,10NAM-148-22@,Z018E0142,Mo18W,20,4,T
320,10NAM-148-23@,Z018E0142,Mo18W,18,4,S
321,10NAM-149-21@,Z018E0143,Mo18W,22,4,S
322,10NAM-149-22@,Z018E0143,Mo18W,16,4,S
323,10NAM-149-23@,Z018E0143,Mo18W,19,4,S
324,10NAM-150-21@,Z018E0144,Mo18W,18,4,T
325,10NAM-150-22@,Z018E0144,Mo18W,16,3,S
326,10NAM-150-23@,Z018E0144,Mo18W,18,2,S
328,10NAM-151-21@,Z018E0145,Mo18W,18,2,S
329,10NAM-152-21@,Z018E0146,Mo18W,14,5,S
330,10NAM-152-22@,Z018E0146,Mo18W,14,4,S
331,10NAM-152-23@,Z018E0146,Mo18W,14,4,S
332,10NAM-152-24@,Z018E0146,Mo18W,18,4,S
334,10NAM-153-21@,Z018E0147,Mo18W,16,4,T
335,10NAM-153-22@,Z018E0147,Mo18W,16,5,S
336,10NAM-153-23@,Z018E0147,Mo18W,16,4,T
337,10NAM-153-24@,Z018E0147,Mo18W,16,5,S
338,10NAM-154-21@,Z018E0148,Mo18W,16,4,S
339,10NAM-154-22@,Z018E0148,Mo18W,16,4,S
340,10NAM-154-23@,Z018E0148,Mo18W,18,4,S
341,10NAM-155-21@,Z018E0149,Mo18W,16,4,S
342,10NAM-155-22@,Z018E0149,Mo18W,,,
345,10NAM-157-21@,Z018E0151,Mo18W,18,3,T
346,10NAM-157-22@,Z018E0151,Mo18W,18,3,T
347,10NAM-157-23@,Z018E0151,Mo18W,,,
348,10NAM-158-21@,Z018E0152,Mo18W,14,3,T
351,10NAM-159-21@,Z018E0153,Mo18W,18,5,S
