Genotype,Population,Subpopulation,KRN
B73xZ009E0055,BxRIL,Z009,15.7
B73xZ009E0063,BxRIL,Z009,16.3
B73xZ009E0095,BxRIL,Z009,16
B73xZ009E0114,BxRIL,Z009,16
B73xZ009E0125,BxRIL,Z009,14.4
B73xZ009E0133,BxRIL,Z009,15.5
B73xZ009E0136,BxRIL,Z009,15.3
B73xZ009E0137,BxRIL,Z009,17.7
B73xZ009E0143,BxRIL,Z009,16
B73xZ009E0145,BxRIL,Z009,15.3
B73xZ009E0149,BxRIL,Z009,15.7
B73xZ009E0150,BxRIL,Z009,15.3
B73xZ009E0153,BxRIL,Z009,13.7
B73xZ009E0155,BxRIL,Z009,14.7
B73xZ009E0167,BxRIL,Z009,16
B73xZ009E0169,BxRIL,Z009,17.3
B73xZ009E0173,BxRIL,Z009,17
B73xZ009E0176,BxRIL,Z009,17.7
B73xZ009E0177,BxRIL,Z009,15.7
B73xZ009E0178,BxRIL,Z009,15
B73xZ009E0179,BxRIL,Z009,17
B73xZ009E0193,BxRIL,Z009,16.3
B73xZ010E0002,BxRIL,Z010,16.3
B73xZ010E0009,BxRIL,Z010,15.7
B73xZ010E0062,BxRIL,Z010,15.2
B73xZ010E0141,BxRIL,Z010,15
B73xZ010E0146,BxRIL,Z010,16.7
B73xZ010E0182,BxRIL,Z010,15.7
B73xZ011E0008,BxRIL,Z011,19
B73xZ011E0009,BxRIL,Z011,15.6
B73xZ011E0012,BxRIL,Z011,17.3
B73xZ011E0062,BxRIL,Z011,15.2
B73xZ011E0079,BxRIL,Z011,16.3
B73xZ011E0144,BxRIL,Z011,15.2
B73xZ011E0146,BxRIL,Z011,16
B73xZ011E0160,BxRIL,Z011,15.7
B73xZ011E0162,BxRIL,Z011,16
B73xZ011E0169,BxRIL,Z011,15
B73xZ011E0182,BxRIL,Z011,16
B73xZ012E0008,BxRIL,Z012,16.8
B73xZ012E0012,BxRIL,Z012,14.7
B73xZ012E0014,BxRIL,Z012,15.5
B73xZ012E0026,BxRIL,Z012,17.3
B73xZ012E0042,BxRIL,Z012,16.4
B73xZ012E0058,BxRIL,Z012,16.3
B73xZ012E0098,BxRIL,Z012,15.2
B73xZ012E0102,BxRIL,Z012,14.8
B73xZ012E0117,BxRIL,Z012,17.7
B73xZ012E0159,BxRIL,Z012,17.6
B73xZ013E0060,BxRIL,Z013,16.7
B73xZ014E0005,BxRIL,Z014,15
B73xZ014E0012,BxRIL,Z014,16.7
B73xZ014E0017,BxRIL,Z014,18.3
B73xZ014E0021,BxRIL,Z014,16.3
B73xZ014E0052,BxRIL,Z014,18
B73xZ014E0075,BxRIL,Z014,14
B73xZ014E0084,BxRIL,Z014,14.3
B73xZ014E0098,BxRIL,Z014,17.5
B73xZ014E0099,BxRIL,Z014,16.7
B73xZ014E0144,BxRIL,Z014,16
B73xZ014E0146,BxRIL,Z014,16.7
B73xZ014E0162,BxRIL,Z014,16.8
B73xZ014E0166,BxRIL,Z014,18
B73xZ014E0167,BxRIL,Z014,15.7
B73xZ014E0168,BxRIL,Z014,15
B73xZ014E0197,BxRIL,Z014,16.8
B73xZ015E0013,BxRIL,Z015,14.4
B73xZ015E0019,BxRIL,Z015,18
B73xZ015E0022,BxRIL,Z015,17
B73xZ015E0023,BxRIL,Z015,15.2
B73xZ015E0029,BxRIL,Z015,18
B73xZ015E0036,BxRIL,Z015,14
B73xZ015E0038,BxRIL,Z015,17.5
B73xZ015E0041,BxRIL,Z015,15.5
B73xZ015E0042,BxRIL,Z015,16
B73xZ015E0059,BxRIL,Z015,14
B73xZ015E0063,BxRIL,Z015,16.3
B73xZ015E0071,BxRIL,Z015,15.3
B73xZ015E0074,BxRIL,Z015,15.7
B73xZ015E0080,BxRIL,Z015,15.2
B73xZ015E0084,BxRIL,Z015,17.3
B73xZ015E0105,BxRIL,Z015,16.3
B73xZ015E0123,BxRIL,Z015,18
B73xZ015E0127,BxRIL,Z015,16.3
B73xZ015E0135,BxRIL,Z015,20
B73xZ015E0142,BxRIL,Z015,15
B73xZ015E0148,BxRIL,Z015,16.4
B73xZ015E0155,BxRIL,Z015,15.7
B73xZ015E0160,BxRIL,Z015,15.2
B73xZ015E0163,BxRIL,Z015,16.3
B73xZ016E0002,BxRIL,Z016,17
B73xZ016E0019,BxRIL,Z016,15.3
B73xZ016E0021,BxRIL,Z016,16.8
B73xZ016E0027,BxRIL,Z016,18.7
B73xZ016E0028,BxRIL,Z016,16.3
B73xZ016E0030,BxRIL,Z016,17.6
B73xZ016E0047,BxRIL,Z016,18.8
B73xZ016E0058,BxRIL,Z016,16.7
B73xZ016E0063,BxRIL,Z016,17
B73xZ016E0065,BxRIL,Z016,16.7
B73xZ016E0077,BxRIL,Z016,16
B73xZ016E0079,BxRIL,Z016,17.3
B73xZ016E0080,BxRIL,Z016,16
B73xZ016E0081,BxRIL,Z016,17
B73xZ016E0084,BxRIL,Z016,16
B73xZ016E0103,BxRIL,Z016,16.3
B73xZ016E0112,BxRIL,Z016,17.7
B73xZ016E0115,BxRIL,Z016,16.7
B73xZ016E0117,BxRIL,Z016,16
B73xZ016E0118,BxRIL,Z016,17.6
B73xZ016E0119,BxRIL,Z016,18.3
B73xZ016E0121,BxRIL,Z016,18.7
B73xZ016E0122,BxRIL,Z016,19.3
B73xZ016E0128,BxRIL,Z016,17.6
B73xZ016E0132,BxRIL,Z016,17.3
B73xZ016E0133,BxRIL,Z016,16.3
B73xZ016E0134,BxRIL,Z016,14.5
B73xZ016E0135,BxRIL,Z016,16.3
B73xZ016E0136,BxRIL,Z016,15
B73xZ016E0137,BxRIL,Z016,16.7
B73xZ016E0138,BxRIL,Z016,18
B73xZ016E0143,BxRIL,Z016,15
B73xZ016E0144,BxRIL,Z016,18.7
B73xZ016E0149,BxRIL,Z016,16.7
B73xZ016E0150,BxRIL,Z016,18
B73xZ016E0153,BxRIL,Z016,14.3
B73xZ016E0157,BxRIL,Z016,16.7
B73xZ016E0160,BxRIL,Z016,15.3
B73xZ016E0161,BxRIL,Z016,19
B73xZ016E0162,BxRIL,Z016,19.2
B73xZ016E0194,BxRIL,Z016,16
B73xZ016E0198,BxRIL,Z016,19
B73xZ017E0001,BxRIL,Z017,17.5
B73xZ017E0002,BxRIL,Z017,14
B73xZ017E0003,BxRIL,Z017,15.4
B73xZ017E0004,BxRIL,Z017,16.2
B73xZ017E0005,BxRIL,Z017,17.3
B73xZ017E0006,BxRIL,Z017,15.4
B73xZ017E0007,BxRIL,Z017,16
